,0
STOX2,0.00010673951463425146
MXD1,0.00042105263157894734
PYCR1,1.9299696719051554e-05
SBF2-AS1,0.0
SLC24A3,0.0
MYRF,0.0004746797130518061
SPATA6,0.0
PRSS12,0.0
SCO2,0.0
FAM135A,0.00010958979328165371
NFE2L3,0.00011013098102111735
RBBP8,0.0017983714872050575
CPM,0.0
MIR100HG,0.00042105263157894734
MPC1,0.002106072808728608
MCM7,0.00010606060606060606
ZNF821,5.4390054390054376e-05
SRPK1,0.00011268791302010989
PXK,0.0026495377737271366
SMIM14,0.0012687296946884718
FAM110A,0.004178911405636491
DAB2,0.0003904027632565297
COL5A1,2.8044871794871778e-05
MRPS28,2.871853781616034e-05
ADAP1,0.0
AP1M2,2.8025450138504135e-05
ATXN1,1.9110019110019107e-05
SPECC1,0.0
TOX2,0.0
NEURL3,0.0
RILP,5.555555555555557e-05
HIST1H3B,2.777777777777778e-05
FAM217B,0.0004526143790849673
TM4SF19,0.0
MICAL2,0.0010244749322493223
SEC24A,0.0
PABPC4,0.0
CEP162,0.0001108222233360064
ANTXR2,0.0004456099456099456
GSPT2,0.00012553802008608326
MFAP5,0.0014772968830983953
DBF4,2.777777777777778e-05
PRR36,0.0
PCED1B,0.002462314089180019
NPDC1,0.0
SAMD9L,0.0029216525771805367
MMAA,2.8225806451612875e-05
ERCC2,2.801568878571999e-05
OSTC,0.0
FCGRT,0.000447810123262523
NAF1,5.468749999999999e-05
PRKCD,0.0013016777766639938
ZNF331,7.872968266253873e-05
CDKN2D,0.0001349841407151096
TMA16,0.0009141120507399576
HSPA1A,0.0
IRAK3,8.391183454693525e-05
RBP7,0.0003970588235294118
IFI27L2,0.00010606060606060606
XCL1,0.0033870496443929436
SIPA1L1,5.46875e-05
SNN,0.004966649302017184
APP,0.00010706894963830671
RNF13,7.511923688394277e-05
DENND2A,0.0
FBN1,0.0
HIST2H2AC,0.0001418900543900544
DCPS,8.003048780487807e-05
SURF6,2.8044871794871778e-05
PDGFB,0.0
TFAP4,0.0005001147643330816
PCDHB5,0.0
TLN1,0.0
MAP2K3,0.0
CAMK1D,0.0009658082263430329
BCL9L,0.0
TACC1,5.625167598560056e-05
ZCCHC8,0.0
UBE2W,0.0
ESCO2,0.0
HLA-DQB1,0.0001333924250590917
RAP1GAP2,0.0
LST1,0.00013381744784183813
PALLD,0.0011068920961882086
SMAD3,2.9069767441860494e-05
LIG1,0.00044318181818181815
CPEB2,0.0009163995726495727
SELENBP1,0.0
TXNDC5,0.0007097917708349657
ZNF333,0.0038582658077836226
FAM49A,0.0
MAP9,0.0
PHF23,5.555555555555557e-05
DENND3,0.000605194041723403
IDO1,0.0
CACNG8,5.4012345679012355e-05
RNF169,0.0
UGDH,0.0005075863878816382
AHNAK2,0.0028062755549914963
LMO7,0.0
OXNAD1,0.0028620648377599583
ITGB2,5.61347233360064e-05
ADAM15,0.0
ALCAM,0.0
KLF7,0.0026726021797402713
SLC36A4,8.187599364069953e-05
PRR11,0.0
TEX9,0.0
CYP2S1,0.0
IL19,0.0
CUEDC1,0.0011517652076941827
RIMS2,0.0
DSTYK,0.0
SMARCC1,0.0
SNHG19,2.7910685805422633e-05
MFGE8,5.468749999999999e-05
GRB7,0.0013155200560823253
TMED5,0.0
SLFN5,0.0
BTBD8,0.0
TNFRSF18,0.003643964021029547
VMA21,0.0
LFNG,0.00041860465116279067
MOB3B,5.417956656346752e-05
PDSS2,0.0
SPPL3,0.00039272030651341
PLCB3,5.405405405405405e-05
AHCTF1,2.946127946127946e-05
F11R,0.002785696024353011
ARSB,0.0
VAV3,0.006852635161467247
WDR1,0.00011423959827833572
IGF2BP2,0.000526761960546469
CETN3,0.00011050369124380901
FANCM,0.0
XRCC4,0.00018567141785446361
ZNF587,8.004926108374382e-05
GMPPA,2.7777777777777786e-05
PHACTR1,0.003828915951184545
KIAA1841,7.894736842105267e-05
DHRS4,0.0003057531215425953
AP1AR,0.0
GNL3,0.00013383838383838385
IER2,5.431268589163328e-05
TBC1D9,0.0
ACO1,0.0
GYG1,0.0
PACSIN1,0.0
LARP1B,0.00011218306119739811
PLOD3,0.0
SIPA1L3,5.439005439005437e-05
CRYBG3,0.0001328411745078412
AP4S1,0.005480024163471244
CAPZA2,2.7854414261460084e-05
CABLES1,0.00014712519113871484
CBLB,0.0004453125
LYPLAL1,0.0003935298935298935
STARD4,0.0
PAICS,0.0
NCKAP5L,0.0
SPRY1,0.0004211711711711711
MSH6,0.005891540708202395
PLTP,5.681818181818184e-05
GCLC,3.043478260869563e-05
LIMK2,0.0
ATP6AP1,0.0
RHBDL2,0.0
TRIB1,0.00010256410256410255
HIST1H2AG,7.918552036199092e-05
PGAP2,0.0004456099456099457
ZNF516,0.0
SQLE,0.003672694811368702
SDCCAG8,2.158717105263158e-05
TGFBRAP1,0.0
TMEM14C,0.0001088670665634675
ETS1,0.0
DUSP16,8.222443835833928e-05
STK38L,0.0
RPS6KA5,0.0
MRPL27,0.0
RNF212,8.06451612903226e-05
SNHG12,1.9110019110019107e-05
ATP2B4,0.0
NID1,0.0
RGS16,0.0
DRD4,2.906976744186046e-05
SLC16A1,0.000502035400359246
LUCAT1,0.0
KLF6,8.405500191726877e-05
CPT1A,0.0
DOCK5,0.0001080663997330664
SWT1,0.0
WNT10A,0.00010823362061752156
RXRA,0.0
CCDC80,0.00010716889024503187
HIST3H2A,0.0009440444423997056
CEP76,0.00010777126099706745
TUFM,0.0
WEE1,2.991452991452993e-05
ZNF513,2.78219395866455e-05
TRIO,0.0
MUTYH,0.0002826455841806719
