col_name,feature_importance_vals
CBX2,0.0
SLC1A4,0.0
SV2A,6.0653256057111166e-05
HEY1,0.0
TCF7,0.0
IER5,0.0
TRIM58,0.0024962614837332497
PHACTR3,0.0
TCF7L2,0.0013507800194695729
RBP1,0.0002958438374519551
PRICKLE2,8.679214136425897e-05
GPRC5A,0.0009481444579730978
IL17C,0.0
SEZ6L2,0.00047756025281044454
CDC6,0.011019956527375238
NRGN,0.0
LYPD1,9.57900193347102e-05
FSCN1,0.0049902476910089555
LINC01411,0.0
EIF2S2,6.14770647863845e-05
MITF,0.00013509297393276976
NDC80,0.00017198724346329512
SIL1,0.0
SPATA17,0.0
MIR4458HG,0.0
MND1,0.0035746368759763036
CDC42EP3,3.454865466739611e-05
MUC16,0.0
RFC3,0.00219700220117949
MARCH2,0.0
JUNB,0.0
CCDC146,0.0
CD99,0.0
PCDHGC3,7.960349270320537e-05
ALDH7A1,0.00463634356388076
GART,9.402895514793991e-05
KIF23,0.00035155061913178583
MORC4,7.242244240027995e-05
MCM3,0.00010087625936864826
IFIH1,0.0
FAM43A,0.0
DHTKD1,0.00010401960550043782
TPRA1,0.0010075616824421149
CMTM6,0.0
PDLIM7,0.0009775272036372951
PLCE1,0.0
YWHAH,0.0
GOLGA2,0.0005158004081170359
THG1L,8.468425878164012e-05
CMIP,0.0
SRC,7.301175017661012e-05
EAF1,0.0
FJX1,2.4719156803389214e-05
IFI16,0.0
CEP290,0.00011314302156581452
FAM162A,4.2504545078181266e-05
AHI1,9.145215070844115e-05
ANXA4,0.0
DUSP3,9.123007742501568e-05
SLCO2B1,0.0
NOMO1,0.0
UBL7,0.0
CLEC11A,0.0
TMEM178B,0.0
ZFHX3,8.679214136425897e-05
ENDOD1,0.00019196585448734307
YWHAE,0.0002003347074595466
HMGB2,4.156468353659681e-05
TMEM161B,5.931197021174296e-05
GDAP2,0.0
PHLDA3,2.8293594019135037e-05
ACSL4,0.0
PBDC1,0.0
PFKP,0.0016846753970456152
HSD17B7,6.20656015341764e-05
GGCT,0.0
GSTO2,0.005095442177164322
RARS,0.0011950584253832906
LMO4,0.0
ATP6V1B2,0.0
KDELR2,5.075143202921219e-05
NNT-AS1,0.0
TSC22D1,0.0013024766861565323
STX7,0.0
MT1G,0.0
GNE,0.0
RCAN1,0.0
C1orf21,0.0
PON2,7.79354796074344e-05
TPMT,0.0
ERVMER34-1,0.0
ARHGAP18,0.0015765368666885448
HIST1H2BC,0.0
LBX2,0.0
IKBIP,8.764398714806408e-05
KCNK15,0.0
TIMP3,5.803637394549859e-05
REEP3,0.0
BCAT1,0.0
MGST2,5.803637394549859e-05
CDH4,0.0
AURKB,0.0021530332240809955
ERBB2,0.00020349592268712686
CHPF,0.005522601752006729
CASC8,2.0307004200949607e-05
APOL1,0.003239227925558135
DTL,0.015120645293618626
RPS23,0.0
TTC39C,0.0
CACNA1A,0.0
APEX1,0.0
CRNDE,0.014314395684734894
TJP2,0.0013598142064913633
DUSP10,4.4537838665754076e-05
RASSF6,0.0
KSR1,0.0
ORAI2,0.0
EMC1,0.00015179391053595935
ARMCX3,0.0
CARS,0.0
MLLT11,0.0
RNF168,0.00014683987738730184
KITLG,0.0
HIST1H2BN,0.0
TRIP10,0.003881650827003491
CDT1,0.003195604268695241
SPA17,0.0
TWSG1,0.0006234992463770265
CPNE2,2.112759976661103e-05
TBC1D4,0.0
ARHGAP31,0.0
RNF217,0.0012903459885191043
PLIN2,0.0
NDRG1,0.0
CDKN2B,2.7487149394803463e-05
FANCI,0.002717060272384521
HMGN5,0.004337663070837028
SLC39A3,0.0
IFI44,0.0
FBXO2,0.0
NCEH1,0.001312302922274289
DEFB1,0.0
TMEM106A,0.0
SERPINB1,0.0
STAP2,0.0
H2AFY2,0.00022641867944774564
HPSE,3.7492754674680725e-05
PPCDC,0.0
SLC20A1,0.0
MFSD1,0.0
SMIM22,0.0
MACROD2,0.0
CDCA8,0.004071749922720116
CERCAM,0.002786109435784354
ZNF185,0.00010178655324092103
PLXNA3,3.8233256806622054e-05
ZBED2,0.0022576729909324425
TXNDC11,0.0
PGLS,0.0
RAB8A,0.0
TFDP2,0.00017193230743103963
TRIQK,0.0
NRAV,0.00018213358306913083
MYD88,0.0
COMT,0.0
SOX9,0.0
DST,0.006328066245089052
PLXNB1,0.0003807603454298718
TNFRSF25,0.0
PDE4D,0.0
MAP3K1,0.0
GALNT10,0.000363749712701269
ADGRG6,6.0653256057111166e-05
MIEF1,0.0035248030001245306
UBR4,0.0
ZNF583,0.0
DSC2,0.0
AKT3,0.0009158396856702085
RNF157,0.00024414180373124504
NDN,0.0
ORAI3,0.0
FRMD3,0.0
EIF5A2,0.0
PLAGL2,0.0
FNDC3B,0.0
WNK4,0.000144339001440416
NDUFS4,8.809113501253882e-05
TMEM97,0.002338849541111421
BACH1,3.1071184950322934e-05
PUM3,0.0
TPD52,2.673086284357635e-05
ANGPTL4,0.0
STOX2,2.535071486151353e-05
MXD1,0.0
PYCR1,0.0008981152373608237
SBF2-AS1,0.00012421973241189547
SLC24A3,0.0
MYRF,0.0030809553534721368
SPATA6,0.0
PRSS12,0.00013831350224466742
SCO2,0.0
FAM135A,0.0
NFE2L3,0.0
RBBP8,0.00539609606893668
CPM,0.0
MIR100HG,0.0008947699980484139
MPC1,0.0
MCM7,0.0005514419796180258
ZNF821,0.0
SRPK1,3.610568524607469e-05
PXK,0.0
SMIM14,0.0
FAM110A,0.0
DAB2,0.0
COL5A1,0.0
MRPS28,0.0
ADAP1,0.0
AP1M2,6.906285951403423e-05
ATXN1,5.803637394549859e-05
SPECC1,4.935489848823979e-05
TOX2,0.0
NEURL3,0.0
RILP,3.4231200451505476e-05
HIST1H3B,0.0009967015353070357
FAM217B,0.00053623449255582
TM4SF19,0.0
MICAL2,0.0005070052706052762
SEC24A,4.156468353659681e-05
PABPC4,0.0
CEP162,0.0
ANTXR2,0.0
GSPT2,0.0
MFAP5,0.0023489909177819225
DBF4,0.00014020008148382817
PRR36,0.0
PCED1B,0.0
NPDC1,0.00014614320881511898
SAMD9L,0.0
MMAA,0.0
ERCC2,0.0
OSTC,0.0
FCGRT,0.0
NAF1,5.980037556432884e-05
PRKCD,0.0
ZNF331,0.0
CDKN2D,0.0
TMA16,0.005371465417499771
HSPA1A,1.88654693387694e-05
IRAK3,0.0
RBP7,0.0
